epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,8729.52,1.25706,0.73055,1.24454,0.91817,0.85793,0.92688,0.60488,1.26929,0.62582,1.28027,0.000189827,0.000189827,0.000189827
81,8836.95,1.2532,0.7281,1.24718,0.92757,0.84905,0.92742,0.60493,1.26807,0.62313,1.28238,0.000174262,0.000174262,0.000174262
82,8943.85,1.2482,0.72041,1.2399,0.92714,0.85083,0.92861,0.60821,1.26739,0.61976,1.28091,0.000159357,0.000159357,0.000159357
83,9051.71,1.24359,0.71667,1.24131,0.92911,0.85479,0.92956,0.60649,1.26625,0.61947,1.28012,0.000145125,0.000145125,0.000145125
84,9161.1,1.24769,0.72363,1.23787,0.92114,0.86046,0.92834,0.60635,1.26867,0.62193,1.27999,0.000131581,0.000131581,0.000131581
85,9268.24,1.2583,0.72943,1.24542,0.93155,0.84987,0.92866,0.60502,1.26744,0.62017,1.27928,0.000118737,0.000118737,0.000118737
86,9374.87,1.23929,0.71035,1.23359,0.92203,0.86059,0.93,0.60662,1.2657,0.61708,1.27819,0.000106608,0.000106608,0.000106608
87,9483.41,1.2426,0.7146,1.23679,0.92453,0.85849,0.92885,0.60699,1.267,0.61882,1.27804,9.52034e-05,9.52034e-05,9.52034e-05
88,9593.94,1.23979,0.70707,1.23487,0.9259,0.85804,0.9292,0.60858,1.26403,0.61725,1.27466,8.4536e-05,8.4536e-05,8.4536e-05
89,9703.95,1.24895,0.71516,1.24126,0.92401,0.85867,0.92905,0.60727,1.26815,0.61851,1.27863,7.4616e-05,7.4616e-05,7.4616e-05
90,9813.32,1.24027,0.71212,1.23346,0.919,0.85984,0.92915,0.60791,1.2673,0.61967,1.27772,6.54531e-05,6.54531e-05,6.54531e-05
91,9917.39,1.21451,0.63005,1.23216,0.92011,0.85763,0.92832,0.606,1.26953,0.62067,1.27986,5.70564e-05,5.70564e-05,5.70564e-05
92,10021.2,1.20178,0.61297,1.22584,0.92423,0.85954,0.92853,0.60692,1.26901,0.61765,1.28145,4.94343e-05,4.94343e-05,4.94343e-05
93,10124.6,1.20077,0.60816,1.22647,0.92331,0.85843,0.92902,0.60804,1.27038,0.61822,1.28158,4.25941e-05,4.25941e-05,4.25941e-05
94,10228,1.20126,0.60941,1.22776,0.92212,0.85773,0.92931,0.60874,1.26701,0.61582,1.27905,3.65426e-05,3.65426e-05,3.65426e-05
95,10332.1,1.20572,0.6077,1.22583,0.92204,0.85947,0.92978,0.60848,1.26731,0.61529,1.2796,3.12859e-05,3.12859e-05,3.12859e-05
96,10435.8,1.20202,0.60938,1.23067,0.92256,0.85875,0.92947,0.60882,1.26667,0.61314,1.28003,2.68292e-05,2.68292e-05,2.68292e-05
97,10539.7,1.1987,0.60844,1.22869,0.92539,0.85502,0.92875,0.60965,1.26516,0.61345,1.27912,2.31767e-05,2.31767e-05,2.31767e-05
98,10643.8,1.20425,0.60849,1.23042,0.92228,0.85615,0.92926,0.6092,1.26628,0.61365,1.2797,2.03321e-05,2.03321e-05,2.03321e-05
99,10748.3,1.20261,0.60464,1.22858,0.92432,0.85633,0.93005,0.60979,1.26753,0.6136,1.28087,1.82983e-05,1.82983e-05,1.82983e-05
100,10854.2,1.20406,0.60856,1.22854,0.92453,0.85541,0.92943,0.61052,1.26644,0.61406,1.27966,1.70772e-05,1.70772e-05,1.70772e-05
