epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,18945.5,1.2393,0.71919,1.22845,0.93689,0.83982,0.92374,0.60356,1.27141,0.62625,1.27479,6.54531e-05,6.54531e-05,6.54531e-05
91,19121.2,1.21655,0.63338,1.23129,0.9283,0.84731,0.92173,0.60068,1.27057,0.62821,1.2738,5.70564e-05,5.70564e-05,5.70564e-05
92,19295.8,1.20415,0.62041,1.22256,0.92467,0.84975,0.92192,0.60191,1.26912,0.62779,1.27405,4.94343e-05,4.94343e-05,4.94343e-05
93,19468.8,1.20444,0.61539,1.2241,0.92898,0.84968,0.92219,0.60345,1.26873,0.62727,1.27331,4.25941e-05,4.25941e-05,4.25941e-05
94,19643.5,1.20413,0.61748,1.22461,0.92952,0.84861,0.92231,0.60376,1.26657,0.62724,1.27237,3.65426e-05,3.65426e-05,3.65426e-05
95,19823.8,1.20697,0.61312,1.2228,0.93062,0.84599,0.92245,0.60329,1.26687,0.62607,1.27283,3.12859e-05,3.12859e-05,3.12859e-05
96,19999.1,1.20357,0.61558,1.22509,0.92872,0.84952,0.92233,0.60409,1.26712,0.62542,1.27322,2.68292e-05,2.68292e-05,2.68292e-05
97,20197.2,1.20125,0.61021,1.22478,0.9263,0.84894,0.92222,0.60443,1.26596,0.62527,1.27319,2.31767e-05,2.31767e-05,2.31767e-05
98,20376.1,1.20565,0.6131,1.22716,0.92688,0.84897,0.92265,0.60408,1.26681,0.62399,1.27425,2.03321e-05,2.03321e-05,2.03321e-05
99,20557.7,1.20607,0.61406,1.22557,0.92656,0.84816,0.92267,0.60516,1.2671,0.62437,1.27396,1.82983e-05,1.82983e-05,1.82983e-05
100,20732.4,1.20556,0.61313,1.22521,0.92626,0.84904,0.92314,0.60521,1.26705,0.62421,1.27381,1.70772e-05,1.70772e-05,1.70772e-05
